skill_id,skill_name,category,synonyms,description
105,Jupyter,Tools & Platforms,"jupyter|jupyter notebook|jupyter lab","Interactive computing platform allowing the creation and sharing of computational documents."
106,Apache Spark,Tools & Platforms,"spark|apache spark|pyspark","Unified analytics engine for large-scale distributed data processing."
107,Apache Kafka,Tools & Platforms,"kafka|apache kafka","Distributed event store and stream-processing platform for high-throughput pipelines."
108,Airflow,Tools & Platforms,"airflow|apache airflow","Platform to programmatically author, schedule, and monitor workflows and data pipelines."
109,Salesforce,Tools & Platforms,"salesforce|sfdc|salesforce crm","Cloud-based customer relationship management (CRM) software ecosystem."
110,HubSpot,Tools & Platforms,"hubspot|hubspot crm","Inbound marketing, sales, and customer service platform."
111,Google Analytics,Tools & Platforms,"google analytics|ga4|analytics","Web analytics service offered by Google tracking and reporting website traffic."
112,SEO,Tools & Platforms,"seo|search engine optimization|sem|keyword research","Process of improving the quality and quantity of website traffic from search engines."
113,Wireshark,Tools & Platforms,"wireshark|packet capture|pcap","Network protocol analyzer tool capturing and interactively browsing traffic on a computer network."
114,Metasploit,Tools & Platforms,"metasploit|metasploit framework","Penetration testing platform enabling security audits, vulnerability discovery, and exploit testing."
115,Splunk,Tools & Platforms,"splunk|siem splunk","Platform for searching, monitoring, and analyzing machine-generated big data and security logs."

116,Communication,Soft Skills,"communication|verbal communication|written communication","Ability to clearly, empathetically, and effectively convey technical information to diverse audiences."
117,Problem Solving,Soft Skills,"problem solving|analytical thinking|critical thinking|troubleshooting","Capacity to analyze complex scenarios, decompose problems, and formulate viable resolutions."
118,Leadership,Soft Skills,"leadership|team lead|mentorship|leading teams","Guiding, inspiring, and mentoring teammates toward common technical goals and excellence."
119,Agile / Scrum,Soft Skills,"agile|scrum|kanban|sprints|standups","Iterative software delivery frameworks fostering team collaboration, rapid feedback, and continuous delivery."
120,Collaboration,Soft Skills,"collaboration|teamwork|cross-functional collaboration","Working productively and cohesively across cross-functional engineering and business teams."
121,Time Management,Soft Skills,"time management|prioritization|deadline-driven","Prioritizing deliverables and managing engineering resources efficiently against project schedules."
122,Adaptability,Soft Skills,"adaptability|flexibility|fast learner","Quickly learning emerging frameworks, adapting to shifting priorities, and embracing new technologies."
123,Stakeholder Management,Soft Skills,"stakeholder management|client management|executive reporting","Aligning expectations with business executives, product managers, and external enterprise clients."
