domain_name,skill_name,importance,category
Backend Development,CI/CD,High,Cloud & DevOps
Backend Development,AWS,Medium,Cloud & DevOps

Full Stack Development,JavaScript,Critical,Programming Languages
Full Stack Development,TypeScript,High,Programming Languages
Full Stack Development,React,Critical,Frameworks & Libraries
Full Stack Development,Node.js,Critical,Frameworks & Libraries
Full Stack Development,REST API,Critical,Frameworks & Libraries
Full Stack Development,SQL,Critical,Programming Languages
Full Stack Development,PostgreSQL,High,Databases
Full Stack Development,MongoDB,High,Databases
Full Stack Development,Docker,High,Cloud & DevOps
Full Stack Development,Git,Critical,Tools & Platforms
Full Stack Development,AWS,Medium,Cloud & DevOps
Full Stack Development,CI/CD,Medium,Cloud & DevOps

Data Analytics,SQL,Critical,Programming Languages
Data Analytics,Power BI,Critical,Tools & Platforms
Data Analytics,Tableau,High,Tools & Platforms
Data Analytics,Excel,Critical,Tools & Platforms
Data Analytics,Python,High,Programming Languages
Data Analytics,Pandas,High,AI / Machine Learning
Data Analytics,Data Modeling,High,AI / Machine Learning
Data Analytics,Communication,Critical,Soft Skills
Data Analytics,Problem Solving,High,Soft Skills
Data Analytics,Snowflake,Medium,Databases
Data Analytics,BigQuery,Medium,Databases

Database Administration,SQL,Critical,Programming Languages
Database Administration,PostgreSQL,Critical,Databases
Database Administration,MySQL,Critical,Databases
Database Administration,Oracle Database,High,Databases
Database Administration,Microsoft SQL Server,High,Databases
Database Administration,Redis,Medium,Databases
Database Administration,MongoDB,Medium,Databases
Database Administration,Linux,High,Cloud & DevOps
Database Administration,Bash,High,Programming Languages
Database Administration,Problem Solving,High,Soft Skills

Cyber Security,Linux,Critical,Cloud & DevOps
Cyber Security,Wireshark,Critical,Tools & Platforms
Cyber Security,Splunk,High,Tools & Platforms
Cyber Security,Metasploit,High,Tools & Platforms
Cyber Security,Bash,High,Programming Languages
Cyber Security,Python,High,Programming Languages
Cyber Security,Networking,Critical,Tools & Platforms
Cyber Security,Problem Solving,Critical,Soft Skills
Cyber Security,Communication,Medium,Soft Skills

Cloud Computing,AWS,Critical,Cloud & DevOps
Cloud Computing,Microsoft Azure,Critical,Cloud & DevOps
Cloud Computing,Google Cloud Platform,High,Cloud & DevOps
Cloud Computing,Terraform,Critical,Cloud & DevOps
Cloud Computing,Docker,High,Cloud & DevOps
Cloud Computing,Kubernetes,High,Cloud & DevOps
Cloud Computing,Linux,High,Cloud & DevOps
Cloud Computing,CI/CD,High,Cloud & DevOps
Cloud Computing,Serverless,High,Cloud & DevOps
Cloud Computing,Problem Solving,High,Soft Skills

DevOps,Docker,Critical,Cloud & DevOps
DevOps,Kubernetes,Critical,Cloud & DevOps
DevOps,CI/CD,Critical,Cloud & DevOps
DevOps,Terraform,Critical,Cloud & DevOps
DevOps,GitHub Actions,High,Cloud & DevOps
DevOps,Jenkins,High,Cloud & DevOps
DevOps,Linux,Critical,Cloud & DevOps
DevOps,AWS,High,Cloud & DevOps
DevOps,Prometheus,High,Cloud & DevOps
DevOps,Grafana,High,Cloud & DevOps
DevOps,Bash,High,Programming Languages
DevOps,Ansible,Medium,Cloud & DevOps

Networking,Wireshark,Critical,Tools & Platforms
Networking,Linux,Critical,Cloud & DevOps
Networking,Bash,High,Programming Languages
Networking,Python,Medium,Programming Languages
Networking,Problem Solving,Critical,Soft Skills
Networking,Communication,Medium,Soft Skills

UI/UX Design,Figma,Critical,Tools & Platforms
UI/UX Design,Adobe XD,High,Tools & Platforms
UI/UX Design,HTML5,Medium,Programming Languages
UI/UX Design,CSS3,Medium,Programming Languages
UI/UX Design,Communication,Critical,Soft Skills
UI/UX Design,Collaboration,Critical,Soft Skills
UI/UX Design,Problem Solving,High,Soft Skills

Digital Marketing,Google Analytics,Critical,Tools & Platforms
Digital Marketing,SEO,Critical,Tools & Platforms
Digital Marketing,HubSpot,High,Tools & Platforms
Digital Marketing,Excel,High,Tools & Platforms
Digital Marketing,Communication,Critical,Soft Skills
Digital Marketing,Stakeholder Management,High,Soft Skills

Finance,Excel,Critical,Tools & Platforms
Finance,SQL,High,Programming Languages
Finance,Power BI,High,Tools & Platforms
Finance,Communication,Critical,Soft Skills
Finance,Problem Solving,Critical,Soft Skills
Finance,Stakeholder Management,High,Soft Skills

HR,Communication,Critical,Soft Skills
HR,Stakeholder Management,Critical,Soft Skills
HR,Leadership,High,Soft Skills
HR,Collaboration,Critical,Soft Skills
HR,Excel,High,Tools & Platforms
HR,Time Management,High,Soft Skills

Business Development,Communication,Critical,Soft Skills
Business Development,Stakeholder Management,Critical,Soft Skills
Business Development,Leadership,High,Soft Skills
Business Development,Salesforce,High,Tools & Platforms
Business Development,HubSpot,High,Tools & Platforms
Business Development,Collaboration,High,Soft Skills

Project Management,Agile / Scrum,Critical,Soft Skills
Project Management,Jira,Critical,Tools & Platforms
Project Management,Confluence,High,Tools & Platforms
Project Management,Communication,Critical,Soft Skills
Project Management,Leadership,Critical,Soft Skills
Project Management,Stakeholder Management,Critical,Soft Skills
Project Management,Time Management,High,Soft Skills
Project Management,Problem Solving,High,Soft Skills
